Run,NumSources,CommnArrivalRate,ArrivalRate,NumCopies,NumRelays,RelayBuffer,MeetingRate,Source0Arrival,Source0Service,Source0AvgQLength,Source0AvgDelay
0,1,0.010000,0.010000,3,1,1,0.500000,0.009867,0.029601,0.108106,10.956361
0,1,0.010000,0.020000,3,1,1,0.500000,0.019840,0.059517,0.242004,12.197762
0,1,0.010000,0.030000,3,1,1,0.500000,0.030245,0.090735,0.423668,14.007874
0,1,0.010000,0.040000,3,1,1,0.500000,0.040019,0.120057,0.664503,16.604687
0,1,0.010000,0.050000,3,1,1,0.500000,0.050228,0.150673,1.029046,20.487506
0,1,0.010000,0.060000,3,1,1,0.500000,0.060170,0.180510,1.672387,27.794372
0,1,0.010000,0.070000,3,1,1,0.500000,0.070342,0.211025,3.411636,48.500703
0,1,0.010000,0.080000,3,1,1,0.500000,0.079899,0.239697,13.774850,172.403287
1,1,0.010000,0.010000,3,1,1,0.500000,0.010105,0.030315,0.110106,10.896211
1,1,0.010000,0.020000,3,1,1,0.500000,0.020209,0.060627,0.251057,12.423016
1,1,0.010000,0.030000,3,1,1,0.500000,0.029988,0.089964,0.415325,13.849698
1,1,0.010000,0.040000,3,1,1,0.500000,0.039904,0.119712,0.660058,16.541146
1,1,0.010000,0.050000,3,1,1,0.500000,0.049837,0.149511,1.027825,20.623733
1,1,0.010000,0.060000,3,1,1,0.500000,0.059863,0.179584,1.696697,28.342999
1,1,0.010000,0.070000,3,1,1,0.500000,0.069623,0.208817,3.198919,45.946303
1,1,0.010000,0.080000,3,1,1,0.500000,0.080091,0.240214,12.558209,156.799249
2,1,0.010000,0.010000,3,1,1,0.500000,0.009930,0.029790,0.109005,10.977304
2,1,0.010000,0.020000,3,1,1,0.500000,0.020077,0.060231,0.244596,12.182914
2,1,0.010000,0.030000,3,1,1,0.500000,0.030170,0.090510,0.417675,13.844060
2,1,0.010000,0.040000,3,1,1,0.500000,0.040366,0.121098,0.678182,16.800822
2,1,0.010000,0.050000,3,1,1,0.500000,0.050346,0.151038,1.024700,20.353155
2,1,0.010000,0.060000,3,1,1,0.500000,0.059885,0.179648,1.696288,28.325757
2,1,0.010000,0.070000,3,1,1,0.500000,0.069996,0.209964,3.374724,48.213098
2,1,0.010000,0.080000,3,1,1,0.500000,0.079702,0.239100,12.093608,151.735310
3,1,0.010000,0.010000,3,1,1,0.500000,0.010044,0.030132,0.109739,10.925784
3,1,0.010000,0.020000,3,1,1,0.500000,0.019792,0.059376,0.241863,12.220262
3,1,0.010000,0.030000,3,1,1,0.500000,0.029645,0.088933,0.410131,13.834736
3,1,0.010000,0.040000,3,1,1,0.500000,0.039885,0.119655,0.653564,16.386216
3,1,0.010000,0.050000,3,1,1,0.500000,0.049692,0.149076,1.014677,20.419326
3,1,0.010000,0.060000,3,1,1,0.500000,0.060300,0.180900,1.661929,27.561009
3,1,0.010000,0.070000,3,1,1,0.500000,0.069653,0.208935,3.200089,45.943302
3,1,0.010000,0.080000,3,1,1,0.500000,0.080412,0.241222,15.503841,192.805072
4,1,0.010000,0.010000,3,1,1,0.500000,0.009977,0.029931,0.109376,10.962847
4,1,0.010000,0.020000,3,1,1,0.500000,0.019950,0.059850,0.242334,12.147056
4,1,0.010000,0.030000,3,1,1,0.500000,0.030294,0.090882,0.424358,14.007976
4,1,0.010000,0.040000,3,1,1,0.500000,0.039903,0.119709,0.657505,16.477594
4,1,0.010000,0.050000,3,1,1,0.500000,0.049979,0.149931,1.029326,20.595177
4,1,0.010000,0.060000,3,1,1,0.500000,0.060263,0.180783,1.692390,28.083401
4,1,0.010000,0.070000,3,1,1,0.500000,0.070092,0.210269,3.392853,48.405713
4,1,0.010000,0.080000,3,1,1,0.500000,0.079971,0.239890,13.878988,173.550256
5,1,0.010000,0.010000,3,1,1,0.500000,0.009973,0.029918,0.110172,11.047034
5,1,0.010000,0.020000,3,1,1,0.500000,0.019914,0.059740,0.244436,12.274599
5,1,0.010000,0.030000,3,1,1,0.500000,0.030114,0.090339,0.420191,13.953356
5,1,0.010000,0.040000,3,1,1,0.500000,0.039790,0.119367,0.658951,16.560724
5,1,0.010000,0.050000,3,1,1,0.500000,0.050017,0.150051,1.012421,20.241538
5,1,0.010000,0.060000,3,1,1,0.500000,0.059899,0.179696,1.692601,28.257582
5,1,0.010000,0.070000,3,1,1,0.500000,0.069956,0.209866,3.240732,46.325295
5,1,0.010000,0.080000,3,1,1,0.500000,0.079918,0.239747,14.049749,175.802062
6,1,0.010000,0.010000,3,1,1,0.500000,0.009788,0.029364,0.106684,10.899430
6,1,0.010000,0.020000,3,1,1,0.500000,0.020177,0.060530,0.247760,12.279327
6,1,0.010000,0.030000,3,1,1,0.500000,0.030032,0.090089,0.414714,13.809061
6,1,0.010000,0.040000,3,1,1,0.500000,0.040052,0.120156,0.659817,16.474006
6,1,0.010000,0.050000,3,1,1,0.500000,0.050147,0.150441,1.041502,20.768979
6,1,0.010000,0.060000,3,1,1,0.500000,0.060113,0.180339,1.712210,28.483196
6,1,0.010000,0.070000,3,1,1,0.500000,0.070141,0.210419,3.316107,47.277721
6,1,0.010000,0.080000,3,1,1,0.500000,0.080021,0.240009,16.850841,210.580238
7,1,0.010000,0.010000,3,1,1,0.500000,0.009989,0.029967,0.109110,10.923015
7,1,0.010000,0.020000,3,1,1,0.500000,0.020173,0.060516,0.250258,12.405604
7,1,0.010000,0.030000,3,1,1,0.500000,0.030054,0.090162,0.420698,13.998077
7,1,0.010000,0.040000,3,1,1,0.500000,0.039963,0.119887,0.654488,16.377352
7,1,0.010000,0.050000,3,1,1,0.500000,0.049959,0.149877,1.019081,20.398355
7,1,0.010000,0.060000,3,1,1,0.500000,0.060143,0.180417,1.682954,27.982534
7,1,0.010000,0.070000,3,1,1,0.500000,0.070230,0.210683,3.330201,47.418490
7,1,0.010000,0.080000,3,1,1,0.500000,0.080158,0.240336,18.273754,227.971687
8,1,0.010000,0.010000,3,1,1,0.500000,0.009987,0.029961,0.109804,10.994691
8,1,0.010000,0.020000,3,1,1,0.500000,0.020216,0.060645,0.246437,12.190215
8,1,0.010000,0.030000,3,1,1,0.500000,0.030133,0.090399,0.419145,13.909841
8,1,0.010000,0.040000,3,1,1,0.500000,0.039823,0.119469,0.656229,16.478633
8,1,0.010000,0.050000,3,1,1,0.500000,0.049940,0.149814,1.006570,20.155583
8,1,0.010000,0.060000,3,1,1,0.500000,0.059600,0.178800,1.687099,28.307037
8,1,0.010000,0.070000,3,1,1,0.500000,0.069932,0.209796,3.175058,45.402073
8,1,0.010000,0.080000,3,1,1,0.500000,0.080115,0.240330,14.887092,185.821530
9,1,0.010000,0.010000,3,1,1,0.500000,0.010012,0.030036,0.109818,10.968650
9,1,0.010000,0.020000,3,1,1,0.500000,0.019987,0.059961,0.245377,12.276845
9,1,0.010000,0.030000,3,1,1,0.500000,0.030059,0.090177,0.422914,14.069472
9,1,0.010000,0.040000,3,1,1,0.500000,0.039956,0.119868,0.653047,16.344143
9,1,0.010000,0.050000,3,1,1,0.500000,0.049904,0.149708,1.008554,20.209883
9,1,0.010000,0.060000,3,1,1,0.500000,0.060025,0.180075,1.690323,28.160318
9,1,0.010000,0.070000,3,1,1,0.500000,0.069783,0.209348,3.170147,45.428639
9,1,0.010000,0.080000,3,1,1,0.500000,0.079905,0.239705,14.437584,180.684365
10,1,0.010000,0.010000,3,1,1,0.500000,0.009973,0.029919,0.109422,10.971777
10,1,0.010000,0.020000,3,1,1,0.500000,0.020037,0.060111,0.245866,12.270593
10,1,0.010000,0.030000,3,1,1,0.500000,0.029986,0.089958,0.419837,14.001100
10,1,0.010000,0.040000,3,1,1,0.500000,0.040411,0.121233,0.677564,16.766821
10,1,0.010000,0.050000,3,1,1,0.500000,0.049985,0.149948,1.016303,20.332163
10,1,0.010000,0.060000,3,1,1,0.500000,0.059963,0.179882,1.683009,28.067455
10,1,0.010000,0.070000,3,1,1,0.500000,0.070054,0.210161,3.470735,49.543706
10,1,0.010000,0.080000,3,1,1,0.500000,0.079818,0.239443,13.033495,163.290179
